RS_values 
values seperated by a comma,
F [Hz], Sa [m/s^2], Sv [m/s], Sd[m] 
0.2,1.0564394,0.95581856,0.66670096
0.21147,1.18801808,1.00832524,0.67097192
0.2236,1.33158572,1.03856012,0.67252964
0.23643,1.46501372,1.10608252,0.66261036
0.24999,1.6647672,1.17572724,0.67366708
0.26432,1.8354672,1.2253534,0.6647834
0.27949,1.9908464,1.2084464,0.6438274
0.29552,2.034274,1.17298308,0.5891216
0.31247,2.083218,1.09929064,0.53886512
0.33039,2.2150732,1.10609364,0.51328596
0.34934,2.4663636,1.15456188,0.51147936
0.36938,2.5630792,1.13416892,0.47487184
0.39056,2.6324492,1.14281364,0.43635776
0.41296,2.9038708,1.17561724,0.4307506
0.43665,3.0444728,1.16326704,0.40348152
0.46169,3.1604724,1.10344232,0.3751872
0.48818,3.3225384,1.08549844,0.35283592
0.51618,3.5360968,1.111045,0.33590012
0.54578,3.7948516,1.12897268,0.3223308
0.57709,3.8808668,1.1040256,0.29486052
0.61019,3.8404532,1.02834768,0.26104728
0.64519,4.3291192,1.08177156,0.26321272
0.68219,4.4730912,1.07063844,0.24326644
0.72132,4.6779184,1.0375292,0.22746864
0.76269,5.0218772,1.0506342,0.21849464
0.80644,4.957794,0.99619252,0.19294112
0.85269,5.5246832,1.0527138,0.19231392
0.9016,5.9951812,1.083835,0.18665968
0.95331,6.0464088,1.01922768,0.16839632
1.00799,6.1447412,0.96958984,0.15305228
1.06581,6.7925452,1.02884872,0.15133968
1.12694,6.8278408,0.98308468,0.13605394
1.19158,7.2765692,0.9753898,0.12970372
1.25992,7.65199,0.97411404,0.1219752
1.33219,8.0197736,0.985246,0.11435707
1.4086,8.0529844,0.9124838,0.10272018
1.48939,8.3895596,0.89150192,0.0957333
1.57482,8.9993388,0.90775808,0.09183135
1.66514,9.449926,0.89600472,0.08627396
1.76065,10.0217532,0.90684624,0.08181655
1.86164,10.7195396,0.91359872,0.07831815
1.96841,11.1347952,0.89692484,0.07274422
2.08132,11.791178,0.90094024,0.06888275
2.20069,11.2813872,0.81468944,0.05896588
2.32692,12.8650516,0.86738328,0.06014003
2.46038,13.431,0.84298604,0.05616126
2.6015,13.082974,0.78160788,0.0489304
2.75072,12.5136208,0.7028178,0.04186421
2.90849,12.63942,0.66411752,0.03780149
3.07531,13.235068,0.66466348,0.03543679
3.2517,12.6635896,0.59605332,0.03031602
3.43821,12.307824,0.54149988,0.0263643
3.63542,12.4162848,0.52147628,0.02376974
3.84393,12.7130956,0.50504192,0.0217626
4.06441,13.0077912,0.4898962,0.01994502
4.29753,12.6205484,0.44123972,0.01730201
4.54402,12.7366668,0.41710852,0.01561436
4.80465,11.6345668,0.36590896,0.0127731
5.08023,12.0472148,0.35499028,0.01182094
5.37162,11.617496,0.32498376,0.01019704
5.67972,11.7585812,0.30107956,0.00922515
6.00549,11.7216228,0.28961812,0.00822149
6.34995,11.0179128,0.2536902,0.00691925
6.71416,11.0166476,0.23957452,0.00619091
7.09927,10.967388,0.2224038,0.0055164
7.50646,11.0286704,0.208415,0.00495372
7.93701,11.8677084,0.21357108,0.00475826
8.39225,10.3980668,0.17113418,0.00373611
8.8736,9.8542016,0.15296398,0.00316894
9.38256,9.4302408,0.13600198,0.00271423
9.92072,9.4277068,0.12985114,0.00242491
10.4897,8.9662696,0.11526352,0.0020654
11.0914,8.5388796,0.1035219,0.00175666
11.7276,7.8625052,0.08856382,0.00144642
12.4002,8.0502088,0.0848977,0.00132608
13.1115,7.7838264,0.07499524,0.00114568
13.8635,7.4714924,0.06788714,0.00098564
14.6587,7.3007484,0.0627191,0.00086
15.4994,6.9357524,0.05463126,0.00073024
16.3884,6.140424,0.04268238,0.00057915
17.3284,6.0784436,0.03914015,0.00051189
18.3223,5.8447116,0.0338508,0.00044128
19.3733,5.7274508,0.02909066,0.00038646
20.4844,5.3504148,0.02422814,0.00032304
21.6594,5.1477108,0.02034609,0.00027771
22.9017,4.8288224,0.01653462,0.0002332
24.2153,4.6906432,0.01460582,0.00020226
25.6042,4.6288232,0.01260117,0.00017851
27.0727,4.5358216,0.0113434,0.00015623
28.6256,4.52971,0.01018781,0.00013993
30.2674,4.518126,0.00986473,0.00012489
32.0035,4.4879892,0.00890295,0.00011078
33.8391,4.4376248,0.0080472,9.815e-05
35.78,4.3422164,0.00668683,8.588e-05
37.8322,4.2305332,0.00567187,7.499e-05
40.0022,4.116636,0.00486071,6.516e-05
42.2966,4.0108076,0.00399467,5.676e-05
44.7226,3.9633632,0.0034062,5.02e-05
47.2877,3.9037432,0.00282959,4.423e-05
50.0,3.867804,0.0024666,3.919e-05
