RS_values 
values seperated by a comma,
F [Hz], Sa [m/s^2], Sv [m/s], Sd[m] 
0.2,0.88381816,0.83015388,0.55187852
0.21147,0.96604908,0.8687634,0.54028272
0.2236,1.07530884,0.88934664,0.53818964
0.23643,1.1744802,0.93370956,0.52710744
0.24999,1.28377548,0.95205844,0.51641128
0.26432,1.3894224,0.96457704,0.5003758
0.27949,1.4905404,0.95626908,0.4773412
0.29552,1.579554,0.94859824,0.45445776
0.31247,1.6619108,0.89757304,0.4264096
0.33039,1.7152752,0.87607272,0.3953414
0.34934,1.8172192,0.87682472,0.37502616
0.36938,1.891954,0.8448108,0.34827452
0.39056,2.0072628,0.89816848,0.33056312
0.41296,2.1432416,0.90301664,0.3162914
0.43665,2.2288448,0.8786112,0.29431676
0.46169,2.2949532,0.84061756,0.27077468
0.48818,2.417048,0.82131848,0.25538472
0.51618,2.549296,0.83455932,0.2410078
0.54578,2.6788536,0.82767268,0.22586248
0.57709,2.7618516,0.80131936,0.20867472
0.61019,2.8714864,0.79916004,0.19394596
0.64519,3.0318852,0.78589444,0.1834834
0.68219,3.1724276,0.7763914,0.17172376
0.72132,3.3276148,0.76007604,0.16110112
0.76269,3.4818884,0.75735088,0.15080048
0.80644,3.611246,0.73978688,0.13992504
0.85269,3.8819584,0.75890016,0.13452336
0.9016,4.0581996,0.76315332,0.12575853
0.95331,4.215484,0.73203828,0.11683178
1.00799,4.3722932,0.71561244,0.10839628
1.06581,4.5905236,0.70969232,0.10184238
1.12694,4.7346252,0.70337404,0.09390736
1.19158,5.0250748,0.69056588,0.08916209
1.25992,5.2876508,0.6867416,0.08393034
1.33219,5.6197484,0.6836142,0.07977718
1.4086,5.7465604,0.662259,0.07298914
1.48939,5.9460132,0.64057824,0.06755684
1.57482,6.2620792,0.64552732,0.06363885
1.66514,6.5093776,0.63159804,0.05916478
1.76065,6.8701116,0.6255296,0.05586151
1.86164,7.2263636,0.62251544,0.05255016
1.96841,7.5899908,0.61703008,0.04936884
2.08132,7.9696408,0.6088244,0.04636259
2.20069,8.1350756,0.59297336,0.0423318
2.32692,8.7035392,0.59284336,0.04051883
2.46038,9.1325632,0.58029248,0.03803956
2.6015,9.182534,0.54387748,0.03418231
2.75072,8.9115008,0.498387,0.02971336
2.90849,8.9566628,0.45679532,0.02670571
3.07531,9.0367964,0.43857636,0.02410302
3.2517,8.8676196,0.40861572,0.02115554
3.43821,8.6273264,0.37677016,0.01841672
3.63542,8.7870712,0.3611626,0.01676501
3.84393,8.777118,0.34696576,0.01497309
4.06441,8.9331228,0.33460432,0.01365544
4.29753,8.677116,0.29944024,0.01184347
4.54402,8.4897496,0.27745428,0.01036943
4.80465,8.2990916,0.25416252,0.00906411
5.08023,8.366954,0.24380448,0.00819321
5.37162,8.39943,0.2298526,0.00735264
5.67972,8.1736228,0.20683936,0.00638922
6.00549,8.193166,0.19303404,0.00573135
6.34995,7.9518732,0.1747026,0.00497024
6.71416,8.0267792,0.16664724,0.00450202
7.09927,8.0234248,0.15709176,0.00401821
7.50646,8.0628748,0.14674072,0.00361444
7.93701,8.304744,0.13981121,0.00333125
8.39225,7.6798908,0.1211259,0.00275534
8.8736,7.5343616,0.11017935,0.00240494
9.38256,7.3506504,0.1029138,0.00210853
9.92072,7.2945872,0.09723289,0.00187243
10.4897,7.0940528,0.08713059,0.00161996
11.0914,6.8088584,0.07781024,0.00139544
11.7276,6.4555848,0.06740568,0.00117998
12.4002,6.4218336,0.06091899,0.00105403
13.1115,6.3480676,0.05550925,0.00093027
13.8635,6.0963368,0.050524,0.00080044
14.6587,5.965426,0.04716463,0.00070058
15.4994,5.7955052,0.04263602,0.00061173
16.3884,5.5150604,0.0358496,0.00051757
17.3284,5.4532452,0.03160211,0.00045813
18.3223,5.3097116,0.02817579,0.00040115
19.3733,5.142328,0.02404888,0.00034765
20.4844,4.9602568,0.02020286,0.00029875
21.6594,4.7834576,0.0167981,0.00025733
22.9017,4.6437748,0.01425048,0.00022342
24.2153,4.5267068,0.01245161,0.00019494
25.6042,4.4579284,0.01103352,0.00017177
27.0727,4.40818,0.00972403,0.00015167
28.6256,4.3797672,0.00897615,0.00013537
30.2674,4.313994,0.00827118,0.00011963
32.0035,4.3032696,0.0075249,0.00010631
33.8391,4.2763136,0.00678097,9.468e-05
35.78,4.1951868,0.00581317,8.295e-05
37.8322,4.1153472,0.00496642,7.29e-05
40.0022,4.0330856,0.00427784,6.39e-05
42.2966,3.97181,0.00357015,5.627e-05
44.7226,3.9298256,0.00306658,4.979e-05
47.2877,3.8813452,0.00256805,4.398e-05
50.0,3.84775,0.00223973,3.898e-05
