values seperated by a comma,
F [Hz],THA [g],Direct [g] 
0.2,0.09016976,0.08948985
0.21147,0.09854762,0.09796466
0.2236,0.10970551,0.10905998
0.23643,0.11981004,0.11944445
0.24999,0.13096294,0.13080417
0.26432,0.14172583,0.14168275
0.27949,0.15208913,0.15108182
0.29552,0.16115278,0.1607893
0.31247,0.16955306,0.16858193
0.33039,0.17501284,0.1747442
0.34934,0.18540062,0.18533266
0.36938,0.19306943,0.19239593
0.39056,0.20482515,0.20431134
0.41296,0.21868888,0.21856245
0.43665,0.22755208,0.22736942
0.46169,0.23426893,0.23384856
0.48818,0.24680947,0.24655831
0.51618,0.26037944,0.26022472
0.54578,0.27360475,0.27269472
0.57709,0.28210983,0.28169445
0.61019,0.29353316,0.29281309
0.64519,0.30976833,0.30971524
0.68219,0.32436559,0.32414348
0.72132,0.34018582,0.340022
0.76269,0.35603182,0.35597479
0.80644,0.36961034,0.36939016
0.85269,0.39746597,0.39731523
0.9016,0.41574731,0.41542632
0.95331,0.43221466,0.43162329
1.00799,0.44855926,0.44796168
1.06581,0.47102787,0.47083257
1.12694,0.48646266,0.48580119
1.19158,0.51658453,0.51595061
1.25992,0.54414242,0.54343974
1.33219,0.57914138,0.57799345
1.4086,0.59211648,0.59186157
1.48939,0.61411573,0.6131123
1.57482,0.64698898,0.64664739
1.66514,0.67408788,0.67309483
1.76065,0.71184098,0.71163189
1.86164,0.75079442,0.74984771
1.96841,0.78953141,0.78920124
2.08132,0.8325503,0.83049235
2.20069,0.85008956,0.85009151
2.32692,0.9126625,0.91224425
2.46038,0.96221429,0.96050457
2.6015,0.97067808,0.96846432
2.75072,0.94505749,0.94522491
2.90849,0.95410101,0.95402623
3.07531,0.96708107,0.96790912
3.2517,0.95655885,0.95572431
3.43821,0.93600422,0.93678902
3.63542,0.96215255,0.96085037
3.84393,0.96763149,0.96824123
4.06441,0.99952668,0.99727706
4.29753,0.97665133,0.978466
4.54402,0.97051507,0.97108139
4.80465,0.96377275,0.96425433
5.08023,0.99190177,0.99224773
5.37162,1.01641831,1.0167648
5.67972,1.00945435,1.01338309
6.00549,1.02200066,1.04666913
6.34995,1.02527738,1.05268856
6.71416,1.09676907,1.11199562
7.09927,1.13301048,1.1694299
7.50646,1.2114532,1.25433934
7.93701,1.31329902,1.39736315
8.39225,1.32866963,1.44673304
8.8736,1.41757659,1.62062122
9.38256,1.61947172,1.89244989
9.92072,1.80520926,2.3073004
10.4897,1.92374862,2.22654054
11.0914,1.80238947,2.1169599
11.7276,1.47277791,1.99785995
12.4002,1.18513014,1.50456676
13.1115,0.99747621,1.19813398
13.8635,0.87479734,1.0121032
14.6587,0.79708751,0.90473337
15.4994,0.74905758,0.84357053
16.3884,0.71144963,0.80456209
17.3284,0.69985724,0.8061448
18.3223,0.69126003,0.79631701
19.3733,0.68111857,0.77859682
20.4844,0.68187614,0.76311411
21.6594,0.69706431,0.75201537
22.9017,0.7052341,0.75075114
24.2153,0.69776121,0.75578971
25.6042,0.66228871,0.75967964
27.0727,0.61403439,0.7607116
28.6256,0.58597746,0.76205533
30.2674,0.57167336,0.76764361
32.0035,0.56071643,0.73407687
33.8391,0.55689947,0.69898234
35.78,0.56239107,0.68961802
37.8322,0.56055041,0.69895926
40.0022,0.54647424,0.7034582
42.2966,0.5387349,0.69751646
44.7226,0.53332509,0.6817014
47.2877,0.52882525,0.67163578
50.0,0.52469346,0.66364722
