values seperated by a comma,
F [Hz],THA [g],Direct [g] 
0.2,0.09021436,0.08950151
0.21147,0.09858657,0.09797847
0.2236,0.1097565,0.1090766
0.23643,0.11986685,0.11946429
0.24999,0.13101895,0.13082793
0.26432,0.14178328,0.141711
0.27949,0.15216722,0.15111503
0.29552,0.1612398,0.16082831
0.31247,0.16962764,0.16862719
0.33039,0.17509006,0.17479623
0.34934,0.18547931,0.18539374
0.36938,0.19316915,0.19246632
0.39056,0.20492209,0.20439421
0.41296,0.218802,0.21866073
0.43665,0.22772895,0.22748306
0.46169,0.23444819,0.23397863
0.48818,0.24703228,0.24671073
0.51618,0.26063705,0.26040362
0.54578,0.27385472,0.27290336
0.57709,0.28237582,0.28193459
0.61019,0.29394059,0.29309124
0.64519,0.31008651,0.31004282
0.68219,0.32483352,0.32452561
0.72132,0.34062686,0.34046883
0.76269,0.35660229,0.35649654
0.80644,0.3703307,0.36999437
0.85269,0.3983275,0.39800275
0.9016,0.4167233,0.41631592
0.95331,0.43336779,0.43260036
1.00799,0.44989095,0.44907938
1.06581,0.47248272,0.47213949
1.12694,0.48820747,0.48730935
1.19158,0.51857514,0.51774144
1.25992,0.54647706,0.54555151
1.33219,0.58217139,0.58050878
1.4086,0.59501404,0.59474789
1.48939,0.61781537,0.616463
1.57482,0.65086795,0.65060818
1.66514,0.67886957,0.67771684
1.76065,0.7170599,0.7171104
1.86164,0.75744486,0.75632171
1.96841,0.79662258,0.79684468
2.08132,0.84177775,0.83951778
2.20069,0.85939026,0.86046673
2.32692,0.92435655,0.92474169
2.46038,0.97685248,0.97528542
2.6015,0.98646065,0.98522809
2.75072,0.9623451,0.9636573
2.90849,0.97329553,0.97498414
3.07531,0.98876943,0.99188021
3.2517,0.98048518,0.98246128
3.43821,0.96287716,0.96644239
3.63542,0.99339808,0.99523097
3.84393,1.00246695,1.00748782
4.06441,1.04219744,1.04306667
4.29753,1.0226361,1.02962199
4.54402,1.02430108,1.02896771
4.80465,1.02373249,1.0299585
5.08023,1.06267677,1.0694048
5.37162,1.09767222,1.10725846
5.67972,1.10131273,1.11733186
6.00549,1.12161836,1.17016064
6.34995,1.14388827,1.19673257
6.71416,1.24371638,1.28753406
7.09927,1.30240612,1.3831296
7.50646,1.42505381,1.51940352
7.93701,1.57752653,1.73821689
8.39225,1.65269397,1.86163042
8.8736,1.82195163,2.16230089
9.38256,2.15549826,2.62648442
9.92072,2.49358527,3.33807961
10.4897,2.76635243,3.32038953
11.0914,2.65904578,3.26740932
11.7276,2.23473569,3.16975981
12.4002,1.79403688,2.39887429
13.1115,1.49133054,1.88538882
13.8635,1.26711216,1.54751801
14.6587,1.12514754,1.32771254
15.4994,1.01759834,1.17771594
16.3884,0.94273063,1.06999171
17.3284,0.88976841,1.00644637
18.3223,0.86308601,0.95549781
19.3733,0.8401545,0.91198618
20.4844,0.82016512,0.8794759
21.6594,0.82111963,0.8615827
22.9017,0.81264399,0.88890673
24.2153,0.82397724,0.94897824
25.6042,0.80670585,0.98942239
27.0727,0.77546826,0.99435561
28.6256,0.74745951,0.98286139
30.2674,0.72296958,0.97137278
32.0035,0.71131683,0.93134425
33.8391,0.69569057,0.8862425
35.78,0.68336977,0.85217401
37.8322,0.67400183,0.82183204
40.0022,0.66575327,0.79860963
42.2966,0.66034161,0.77995883
44.7226,0.65792168,0.75949415
47.2877,0.65531592,0.74358525
50.0,0.65189472,0.72878134
