RS_values 
values seperated by a comma,
F [Hz], Sa [m/s^2], Sv [m/s], Sd[m] 
0.2,0.81265344,0.77752608,0.50099836
0.21147,0.8838736,0.80709244,0.49001556
0.2236,0.97691504,0.8232266,0.48419264
0.23643,1.07007992,0.85794604,0.47558512
0.24999,1.14055088,0.86069208,0.455715
0.26432,1.2254266,0.86814432,0.43726312
0.27949,1.3201644,0.8596402,0.41880832
0.29552,1.4054224,0.85919776,0.40084008
0.31247,1.479978,0.8173106,0.37696792
0.33039,1.5223272,0.79007576,0.34864704
0.34934,1.5750868,0.77355844,0.3232152
0.36938,1.6476908,0.75418604,0.30130528
0.39056,1.7566532,0.79808016,0.28703068
0.41296,1.8694884,0.79880604,0.27438728
0.43665,1.946296,0.77789212,0.25537688
0.46169,2.021546,0.75305936,0.23700212
0.48818,2.1254156,0.73675684,0.22294444
0.51618,2.2432136,0.73911232,0.21092312
0.54578,2.3711236,0.73622136,0.19848444
0.57709,2.4400348,0.71545104,0.18316568
0.61019,2.5399736,0.70868448,0.17036184
0.64519,2.655662,0.69807564,0.159734
0.68219,2.783556,0.68204944,0.14990728
0.72132,2.890462,0.671163,0.13907824
0.76269,3.0333768,0.66459144,0.13064268
0.80644,3.1409888,0.65502824,0.12102966
0.85269,3.3253124,0.6624932,0.11457027
0.9016,3.5132984,0.66455344,0.10818543
0.95331,3.6507708,0.64652932,0.10053782
1.00799,3.795836,0.63125956,0.0936033
1.06581,3.9403976,0.61735808,0.08693659
1.12694,4.1044208,0.6103392,0.08097931
1.19158,4.3425408,0.59978584,0.07664729
1.25992,4.5808664,0.59738776,0.07231802
1.33219,4.842198,0.58514264,0.06836267
1.4086,4.969222,0.57106148,0.06279854
1.48939,5.1872848,0.55765912,0.05863202
1.57482,5.4125588,0.55900568,0.05474244
1.66514,5.6085456,0.55197168,0.05071958
1.76065,5.8943504,0.53634392,0.04770252
1.86164,6.1853288,0.52962288,0.04477491
1.96841,6.5078228,0.52765192,0.04211715
2.08132,6.8586992,0.52284772,0.039706
2.20069,7.0133772,0.51261456,0.03633096
2.32692,7.4130824,0.50550468,0.03435333
2.46038,7.708786,0.48814128,0.03195968
2.6015,7.8686924,0.46657832,0.02917719
2.75072,7.69408,0.42905808,0.0255386
2.90849,7.75749,0.3899314,0.02302498
3.07531,7.7629292,0.37135104,0.0206173
3.2517,7.608596,0.34941376,0.01807598
3.43821,7.4944516,0.32477304,0.01592892
3.63542,7.6595252,0.31185988,0.01455074
3.84393,7.594758,0.29886504,0.01291465
4.06441,7.7386252,0.28474844,0.01175221
4.29753,7.5565872,0.25577672,0.01028077
4.54402,7.3658404,0.23713564,0.00897252
4.80465,7.1904868,0.218695,0.00781876
5.08023,7.3069172,0.20858424,0.00713645
5.37162,7.2965296,0.19601784,0.00636724
5.67972,7.1770548,0.1779624,0.00559681
6.00549,7.1491756,0.16447272,0.0049864
6.34995,7.0337972,0.14968588,0.00438658
6.71416,7.0408264,0.1427472,0.00393279
7.09927,7.0308764,0.13528024,0.00351888
7.50646,7.1785904,0.12700382,0.00319636
7.93701,7.3193932,0.11944481,0.00292609
8.39225,6.9612972,0.10585417,0.00249572
8.8736,6.7977944,0.09631081,0.00216574
9.38256,6.661068,0.09084442,0.00190721
9.92072,6.578046,0.08528924,0.00167989
10.4897,6.5020028,0.07723342,0.00148025
11.0914,6.2799928,0.06860307,0.00128647
11.7276,6.0496368,0.06012784,0.00110447
12.4002,5.9801584,0.053704,0.00098041
13.1115,5.8858172,0.04928508,0.00086099
13.8635,5.6942392,0.04522163,0.00074561
14.6587,5.5604284,0.04189208,0.00065109
15.4994,5.44491,0.03804399,0.00057289
16.3884,5.2907132,0.03283847,0.00049458
17.3284,5.2254836,0.02903801,0.00043776
18.3223,5.104648,0.02590373,0.0003846
19.3733,4.9410036,0.02224513,0.00033496
20.4844,4.814242,0.01885111,0.0002892
21.6594,4.6756944,0.01587739,0.00025072
22.9017,4.5693264,0.01343543,0.00021906
24.2153,4.4744992,0.01179638,0.00019228
25.6042,4.4073252,0.01045223,0.00016947
27.0727,4.361146,0.00923483,0.00014991
28.6256,4.3166704,0.0084428,0.00013322
30.2674,4.2585344,0.0077218,0.00011791
32.0035,4.2357836,0.00702186,0.00010472
33.8391,4.2048388,0.00629717,9.306e-05
35.78,4.1350616,0.0054329,8.175e-05
37.8322,4.076338,0.00470248,7.216e-05
40.0022,4.0125972,0.00403073,6.357e-05
42.2966,3.9589848,0.00340368,5.612e-05
44.7226,3.9150668,0.00292561,4.964e-05
47.2877,3.874178,0.00248381,4.391e-05
50.0,3.8415948,0.00217564,3.893e-05
